Urban_Neighborhood	MSA	St	Income	Num_Homes	Black	Asian	Hisp	White
Grove Isle-Bayshore	Miami	FL	$506,683	758	0.00%	0.00%	20.20%	79.80%
Cherry Hills Village	Denver	CO	$238,750	2,160	1.10%	1.20%	4.20%	93.50%
Sutton Place	New York	NY	$176,980	6,822	0.20%	3.50%	2.80%	92.10%
Old Town (Alexandria)	Washington	VA	$169,658	2,057	0.70%	1.40%	1.70%	95.10%
Tribeca	New York	NY	$163,425	4,013	5.70%	6.20%	4.80%	80.90%
Pacific Heights	San Francisco	CA	$158,937	8,794	0.40%	8.40%	2.90%	86.70%
The Gold Coast	Chicago	IL	$153,358	6,781	1.90%	2.50%	1.70%	92.70%
Georgetown	Washington	DC	$152,209	2,724	3.20%	2.00%	4.00%	89.40%
Marina	Los Angeles	CA	$151,934	2,449	2.40%	2.00%	4.20%	89.50%
Battery Park	New York	NY	$150,075	4,440	2.80%	15.90%	4.30%	74.40%
Upper East Side	New York	NY	$143,323	115,792	1.80%	5.60%	4.90%	86.30%
Central Park South	New York	NY	$141,085	2,736	2.20%	5.10%	4.60%	85.90%
Kalorama Heights	Washington	DC	$140,157	1,530	3.70%	5.80%	6.40%	87.50%
Dinner Key	Miami	FL	$137,210	597	0.00%	0.00%	18.90%	79.60%
Telegraph Hill	San Francisco	CA	$133,977	924	0.90%	16.80%	1.10%	80.40%
Midtown East	New York	NY	$129,650	31,962	1.50%	10.60%	4.40%	81.30%
The Embarcadero	San Francisco	CA	$129,610	1,543	1.80%	15.30%	1.80%	79.80%
Cobble Hill (Brooklyn)	New York	NY	$128,123	2,423	0.90%	4.30%	5.80%	86.00%
Upper West Side	New York	NY	$124,960	96,146	6.50%	5.50%	9.20%	76.80%
Marina	San Francisco	CA	$124,750	5,413	0.30%	8.10%	2.80%	86.80%
Boston Harbor	Boston	MA	$124,419	1,446	0.50%	7.20%	1.80%	90.50%
Buckhead	Atlanta	GA	$122,747	34,018	5.90%	2.50%	4.00%	86.30%
Back Bay	Boston	MA	$122,731	6,767	0.90%	5.90%	2.70%	88.70%
Lake Shore East	Chicago	IL	$122,145	3,246	11.60%	8.60%	3.70%	73.10%
South of Market	San Francisco	CA	$117,921	3,500	5.90%	16.60%	5.20%	69.10%
Brooklyn Heights (Brooklyn)	New York	NY	$116,952	11,509	5.80%	5.40%	5.10%	82.20%
East Side	Providence	RI	$116,158	3,569	1.10%	3.00%	0.40%	94.80%
Lincoln Park	Chicago	IL	$115,856	35,069	2.50%	3.90%	3.60%	88.80%
Rittenhouse Square	Philadelphia	PA	$115,773	1,222	0.00%	6.90%	0.00%	93.10%
SoHo	New York	NY	$114,846	5,593	1.90%	4.80%	5.40%	85.10%
Russian Hill-North Beach	San Francisco	CA	$114,645	8,292	0.80%	16.90%	3.50%	77.10%
Greenwich Village	New York	NY	$112,546	40,775	2.00%	5.10%	4.10%	86.40%
Beacon Hill	Boston	MA	$109,569	5,702	2.20%	3.50%	2.50%	91.00%
Nob Hill	San Francisco	CA	$108,870	3,078	1.80%	24.50%	3.60%	72.30%
Society Hill	Philadelphia	PA	$107,504	3,635	2.10%	4.00%	2.60%	91.30%
Streeterville	Chicago	IL	$107,276	10,255	4.90%	11.80%	2.50%	78.30%
East Side	Milwaukee	WI	$107,082	1,632	2.60%	1.00%	0.20%	94.60%
Downtown	New York	NY	$106,745	3,526	3.90%	13.80%	4.80%	74.00%
Charleston Historic District	Charleston	SC	$106,349	2,392	4.80%	1.30%	1.50%	92.50%
Murray Hill	New York	NY	$105,821	22,096	2.20%	9.30%	4.80%	81.70%
The Near North	Chicago	IL	$105,586	11,871	9.60%	7.20%	4.10%	77.30%
Noe Valley	San Francisco	CA	$105,335	8,850	1.30%	6.60%	9.40%	79.90%
Old Town	Chicago	IL	$104,060	2,610	8.10%	3.80%	4.30%	80.00%
Meridian Corridor	Indianapolis	IN	$102,599	1,122	5.30%	0.30%	0.50%	93.90%
Chestnut Hill	Philadelphia	PA	$101,471	4,267	15.30%	2.70%	1.80%	78.20%
River North	Chicago	IL	$100,607	2,971	10.90%	6.40%	4.50%	74.40%
Point Breeze	Pittsburgh	PA	$99,669	2,437	5.80%	2.10%	0.30%	90.10%
Squirrel Hill	Pittsburgh	PA	$97,553	3,761	3.00%	8.90%	0.90%	85.60%
Park Slope (Brooklyn)	New York	NY	$95,920	13,769	6.50%	4.50%	7.30%	78.60%
Sandberg Village	Chicago	IL	$95,876	5,205	3.80%	3.90%	3.10%	87.40%
The Loop	Chicago	IL	$91,033	1,025	7.80%	4.40%	9.50%	73.40%
Garden District	New Orleans	LA	$90,702	1,130	2.90%	1.20%	0.70%	92.40%
Gramercy	New York	NY	$90,000	39,151	4.10%	9.20%	6.60%	78.00%
Diamond Bar	Los Angeles	CA	$89,845	17,690	4.1%	53.2%	19.5%	19.8%
Riverdale (Bronx)	New York	NY	$88,890	4,855	8.70%	3.10%	9.40%	78.20%
Brickell Avenue	Miami	FL	$88,772	5,487	0.80%	2.10%	51.70%	44.10%
Dearborn Park-Printers Row	Chicago	IL	$88,482	3,652	23.20%	7.70%	2.90%	63.60%
South End	Boston	MA	$86,601	9,059	14.50%	6.90%	10.60%	65.80%
Midtown	New York	NY	$86,427	4,486	8.00%	11.10%	10.10%	66.90%
Near West Side-River West	Chicago	IL	$86,168	4,372	13.40%	10.30%	3.40%	71.20%
Haight-Ashbury	San Francisco	CA	$82,713	4,830	8.30%	5.20%	6.20%	76.50%
Central Gardens	Memphis	TN	$82,620	2,210	6.90%	2.30%	1.40%	88.30%
Queen Anne Hill	Seattle	WA	$82,420	14,719	1.40%	4.30%	2.70%	88.70%
Mount Adams	Cincinnati	OH	$82,073	993	1.40%	2.50%	1.60%	94.50%
Summit Hill	St. Paul	MN	$78,166	3,712	1.80%	1.10%	2.90%	93.30%
French Quarter	New Orleans	LA	$58,571	2,909	2.60%	0.50%	3.20%	91.00%
